tDept,tSid,institution_name,tFname,tMiddlename,tLname,tid,tNumRatings,rating_class,contentType,categoryType,overall_rating
Physics,1754,Brigham Young University - Idaho, Collins,, Alan,3021921,0,zero,TEACHER,PROFESSOR,N/A
Interior Design,1754,Brigham Young University - Idaho,Toni ,, Elorrieta,2986890,0,zero,TEACHER,PROFESSOR,N/A
General Studies,1754,Brigham Young University - Idaho,Coreen,,(Hurst) Huggins,2021911,26,average,TEACHER,PROFESSOR,3.0
Religion,1754,Brigham Young University - Idaho,David,,Aaron,2711322,0,zero,TEACHER,PROFESSOR,N/A
Geology,1754,Brigham Young University - Idaho,Jason,,Aase,809410,30,good,TEACHER,PROFESSOR,4.4
Online Learning,1754,Brigham Young University - Idaho,Dawn,,Abbott,2472024,18,good,TEACHER,PROFESSOR,4.3
Art,1754,Brigham Young University - Idaho,Joshua,,Abegglen,1421923,17,good,TEACHER,PROFESSOR,4.7
Sociology,1754,Brigham Young University - Idaho,Michael,,Abel,922527,90,good,TEACHER,PROFESSOR,3.6
English,1754,Brigham Young University - Idaho,Courtney,,Abenroth,1868481,9,good,TEACHER,PROFESSOR,4.7
Military Science,1754,Brigham Young University - Idaho,Tiffany,,Abriam,2242218,1,good,TEACHER,PROFESSOR,5.0
Education,1754,Brigham Young University - Idaho,Richard,,Adair,612220,17,good,TEACHER,PROFESSOR,4.4
Online Learning,1754,Brigham Young University - Idaho,Roger,,Adair,2233899,4,good,TEACHER,PROFESSOR,3.7
Psychology,1754,Brigham Young University - Idaho,Rodger,,Adair,2242431,6,good,TEACHER,PROFESSOR,4.0
Child  Family Studies,1754,Brigham Young University - Idaho,Christina,,Adams,2069062,1,good,TEACHER,PROFESSOR,5.0
Economics,1754,Brigham Young University - Idaho,Nate,,Adams,2147895,4,average,TEACHER,PROFESSOR,2.8
English,1754,Brigham Young University - Idaho,Andrew,Bud,Adams,1996803,7,good,TEACHER,PROFESSOR,4.0
Health Science,1754,Brigham Young University - Idaho,Jescee,,Adams,2298428,5,good,TEACHER,PROFESSOR,4.6
Physics,1754,Brigham Young University - Idaho,Kyle,Robert,Adams,2709587,6,good,TEACHER,PROFESSOR,5.0
Online Learning,1754,Brigham Young University - Idaho,Steve,,Adams,2709595,1,average,TEACHER,PROFESSOR,3.0
Communication,1754,Brigham Young University - Idaho,Maija-Liisa,N,Adams,2056560,38,average,TEACHER,PROFESSOR,2.9
Religion,1754,Brigham Young University - Idaho,Jacob,,Adams,2090760,12,good,TEACHER,PROFESSOR,4.5
Art,1754,Brigham Young University - Idaho,Kaleigh,,Adamson,2678099,0,zero,TEACHER,PROFESSOR,N/A
Online Learning,1754,Brigham Young University - Idaho,Darren,,Adamson,2444534,7,good,TEACHER,PROFESSOR,5.0
Political Science,1754,Brigham Young University - Idaho,Duane,,Adamson,923985,75,good,TEACHER,PROFESSOR,3.9
Religion,1754,Brigham Young University - Idaho,Darren,,Adamson,1687544,18,good,TEACHER,PROFESSOR,4.9
Child & Family Studies,1754,Brigham Young University - Idaho,Michael,,Addams,2639716,2,good,TEACHER,PROFESSOR,5.0
Online Learning,1754,Brigham Young University - Idaho,Trish,,Adelsperger,2028035,13,poor,TEACHER,PROFESSOR,2.4
Hospitality,1754,Brigham Young University - Idaho,Joel,R,Agate,2516737,0,zero,TEACHER,PROFESSOR,N/A
Religion,1754,Brigham Young University - Idaho,Susan,,Aguiar,2020650,5,good,TEACHER,PROFESSOR,4.2
Animal Science,1754,Brigham Young University - Idaho,Maria,,AhMu,2749733,1,good,TEACHER,PROFESSOR,5.0
Career Development,1754,Brigham Young University - Idaho,Sid,,Ahrendsen,972244,10,good,TEACHER,PROFESSOR,4.3
Career & College Prep,1754,Brigham Young University - Idaho,Rob,,Ahrendsen,1297471,17,good,TEACHER,PROFESSOR,4.5
Marketing,1754,Brigham Young University - Idaho,Drew,T,Ainscough,2744101,3,average,TEACHER,PROFESSOR,3.0
Home & Family Studies,1754,Brigham Young University - Idaho,Kari,Christine,Airth,2453775,1,good,TEACHER,PROFESSOR,5.0
Child & Family Studies,1754,Brigham Young University - Idaho,Kari,,Airth,1530349,52,good,TEACHER,PROFESSOR,4.6
Foundations,1754,Brigham Young University - Idaho,Jean,Renee,Akers,2614558,1,good,TEACHER,PROFESSOR,5.0
Foreign Languages & Literature,1754,Brigham Young University - Idaho,Matthew,,Alba,964041,75,good,TEACHER,PROFESSOR,4.5
General Studies,1754,Brigham Young University - Idaho,Melissa,,Alegre,3022947,1,good,TEACHER,PROFESSOR,5.0
Chemistry,1754,Brigham Young University - Idaho,Aldair,,Alejandro,2310294,3,good,TEACHER,PROFESSOR,4.0
Instructional Technology,1754,Brigham Young University - Idaho,Dean,,Allen,482301,13,average,TEACHER,PROFESSOR,3.2
Music,1754,Brigham Young University - Idaho,Stephen,,Allen,959264,11,good,TEACHER,PROFESSOR,4.7
Physical Education,1754,Brigham Young University - Idaho,Holly,,Allen,1041434,13,good,TEACHER,PROFESSOR,4.5
Business,1754,Brigham Young University - Idaho,Hyrum,Redge,Allen,1979735,6,good,TEACHER,PROFESSOR,4.3
Business,1754,Brigham Young University - Idaho,Redge,,Allen,1993790,41,good,TEACHER,PROFESSOR,4.8
Management,1754,Brigham Young University - Idaho,Brian,,Allen,2957224,0,zero,TEACHER,PROFESSOR,N/A
Business,1754,Brigham Young University - Idaho,Brian,,Allen,2195139,6,poor,TEACHER,PROFESSOR,1.7
Business,1754,Brigham Young University - Idaho,James,,Allen,2225189,25,good,TEACHER,PROFESSOR,4.6
Health  Human Performance,1754,Brigham Young University - Idaho,Heather,,Allen,2265010,5,good,TEACHER,PROFESSOR,5.0
English,1754,Brigham Young University - Idaho,Scott,Edwin,Allen,2425039,6,good,TEACHER,PROFESSOR,4.0
Geology,1754,Brigham Young University - Idaho,Tara,,Allen,2638094,3,good,TEACHER,PROFESSOR,5.0
Computer Science,1754,Brigham Young University - Idaho,Katie,Larson,Allen,2684124,6,good,TEACHER,PROFESSOR,5.0
Health Science,1754,Brigham Young University - Idaho,Eric,,Allen,2708259,1,good,TEACHER,PROFESSOR,5.0
English,1754,Brigham Young University - Idaho,Joshua,,Allen,2734229,3,good,TEACHER,PROFESSOR,5.0
English,1754,Brigham Young University - Idaho,Josh,,Allen,503543,83,good,TEACHER,PROFESSOR,4.5
Education,1754,Brigham Young University - Idaho,David,,Allen,845707,31,average,TEACHER,PROFESSOR,3.4
Mathematics,1754,Brigham Young University - Idaho,Kara,,Allen,943856,34,good,TEACHER,PROFESSOR,4.0
Architecture,1754,Brigham Young University - Idaho,Nathan,,Allen,1053273,11,good,TEACHER,PROFESSOR,4.3
Online Learning,1754,Brigham Young University - Idaho,Emily,,Alley,1989004,6,good,TEACHER,PROFESSOR,3.9
Online Learning,1754,Brigham Young University - Idaho,Josh,,Alley,2067757,4,good,TEACHER,PROFESSOR,4.7
Communication,1754,Brigham Young University - Idaho,Jay,,Alley,2573680,1,good,TEACHER,PROFESSOR,5.0
Marketing,1754,Brigham Young University - Idaho,Luke,,Alley,2649697,19,good,TEACHER,PROFESSOR,5.0
Communication,1754,Brigham Young University - Idaho,Matthew,,Alley,2612900,6,good,TEACHER,PROFESSOR,3.8
Theology,1754,Brigham Young University - Idaho,Chris,,Allison,374242,121,good,TEACHER,PROFESSOR,4.1
Health Science,1754,Brigham Young University - Idaho,Toni,,Allman,2203671,3,good,TEACHER,PROFESSOR,5.0
Music,1754,Brigham Young University - Idaho,Andrew,,Allphin,2898821,0,zero,TEACHER,PROFESSOR,N/A
Home amp Family Studies,1754,Brigham Young University - Idaho,Kenneth,,Allred,2297961,2,good,TEACHER,PROFESSOR,3.5
Computer Science,1754,Brigham Young University - Idaho,John,,Allred,2270784,11,poor,TEACHER,PROFESSOR,1.9
Child & Family Studies,1754,Brigham Young University - Idaho,Sarah,,Allred,2525244,7,good,TEACHER,PROFESSOR,3.9
Computer Science,1754,Brigham Young University - Idaho,Jason,Morgan,Allred,2736317,16,good,TEACHER,PROFESSOR,4.9
Geology,1754,Brigham Young University - Idaho,Isaac,,Allred,2971079,3,good,TEACHER,PROFESSOR,4.0
Theology,1754,Brigham Young University - Idaho,Philip,,Allred,256243,102,good,TEACHER,PROFESSOR,4.7
Communication,1754,Brigham Young University - Idaho,Jennifer,,Allred,1156647,32,good,TEACHER,PROFESSOR,4.6
Religion,1754,Brigham Young University - Idaho,Brian,,Allred,2078010,5,good,TEACHER,PROFESSOR,4.3
Mathematics,1754,Brigham Young University - Idaho,Alyssa,,Allsop,2102881,7,good,TEACHER,PROFESSOR,4.5
Interior Design,1754,Brigham Young University - Idaho,Allison ,,Allsop,3031806,0,zero,TEACHER,PROFESSOR,N/A
Business,1754,Brigham Young University - Idaho,Leo,,Almeida,2385531,3,good,TEACHER,PROFESSOR,4.0
English,1754,Brigham Young University - Idaho,Jon,,Alston,2074300,7,good,TEACHER,PROFESSOR,4.1
Home & Family Studies,1754,Brigham Young University - Idaho,Kayla,,Alva,2676703,1,good,TEACHER,PROFESSOR,4.0
Child & Family Studies,1754,Brigham Young University - Idaho,Jessica,,Alvarado-Guadron,2686158,0,zero,TEACHER,PROFESSOR,N/A
Home & Family Studies,1754,Brigham Young University - Idaho,Jessica,L,Alvarado-Guardon,2467710,9,average,TEACHER,PROFESSOR,3.1
Computer Science,1754,Brigham Young University - Idaho,Zachariah,,Alvey,2390933,7,good,TEACHER,PROFESSOR,4.9
Accounting,1754,Brigham Young University - Idaho,Adna,,Ames,855728,61,average,TEACHER,PROFESSOR,3.4
Mathematics,1754,Brigham Young University - Idaho,Brett,,Amidan,2536487,14,good,TEACHER,PROFESSOR,4.5
Home & Family Studies,1754,Brigham Young University - Idaho,Daiana,G,Amyradakis,2350186,1,good,TEACHER,PROFESSOR,5.0
Psychology,1754,Brigham Young University - Idaho,Kimberly,,Andersen,345050,84,average,TEACHER,PROFESSOR,2.8
General Studies,1754,Brigham Young University - Idaho,Brett,,Andersen,1907767,3,good,TEACHER,PROFESSOR,5.0
Online Learning,1754,Brigham Young University - Idaho,Samantha,,Andersen,2128475,3,good,TEACHER,PROFESSOR,4.7
Political Science,1754,Brigham Young University - Idaho,Jane,,Andersen,2095113,7,good,TEACHER,PROFESSOR,4.6
Communication,1754,Brigham Young University - Idaho,Tyler,,Andersen,2610252,5,good,TEACHER,PROFESSOR,4.4
Humanities,1754,Brigham Young University - Idaho,Jeff,,Andersen,895295,59,average,TEACHER,PROFESSOR,3.0
Social Science,1754,Brigham Young University - Idaho,Joyce,,Anderson,238969,18,good,TEACHER,PROFESSOR,4.3
"Ag Bus, Plant & Animal Sci",1754,Brigham Young University - Idaho,Kevin,,Anderson,957306,15,poor,TEACHER,PROFESSOR,2.2
